Digi-Key Part Number,Customer Reference,Quantity
952-1951-ND,8POS SIL VERTICAL SMT HEADER,13
952-2001-ND,8POS SIL VERTICAL SMT HEADER,2
97-14047-ND,IC MCU ARM M4 32BIT RISC 64LQFP,1
296-1275-1-ND,IC DIFF BUS TXCVR 8-SOIC,1
568-8329-5-ND,IC BUFF/DVR TRI-ST DUAL 20TSSOP,1
AP65552SP-13DICT-ND,IC REG BUCK ADJ 5A SO-8,4
ZXCT1107SA-7DICT-ND,IC CURR MONITOR HIGH SIDE SOT23,4
785-1277-1-ND,IC REG BUCK ADJ 1.2A SOT23-6,2
240-2412-1-ND,FB1,1
1276-2854-1-ND,C3 C4 C6 C8 C9 C10 C11 C51 C31 C32 C47 C48,12
587-2254-1-ND,C7 C1 C18 C17,4
399-8148-1-ND,C12 C21 C22 C37 C38,5
887-2439-1-ND,X1,1
1276-2809-1-ND,C5 C2,2
P100ECT-ND,R25,1
MSS2P3-M3/89AGICT-ND,D2 D1,2
587-1353-1-ND,C14 C13 C27 C33 C29 C34 C43 C49 C45 C50,10
399-7174-1-ND,C16 C15,2
587-2098-1-ND,L2 L1,2
311-49.9KFRCT-ND,R3 R1,2
311-15.8KFRCT-ND,R4,1
311-9.53KFRCT-ND,R2,1
311-191KFRCT-ND,R5 R6 R11 R12,4
311-22.1KFRCT-ND,R7 R8 R13 R14,4
311-1152-1-ND,C19 C20 C35 C36,4
311-100KERCT-ND,R9 R10 R15 R16,4
311-1211-1-ND,C23 C24 C39 C40,4
1276-2728-1-ND,C28 C25 C30 C26 C44 C41 C46 C42,8
ASPI-0630LR-3R3M-T15CT-ND,L3 L4 L5 L6,4
985-1548-1-ND,R17 R18 R21 R22,4
P8.06KFCT-ND,R19 R20 R23 R24,4
